,Date,xy_scan_difference_hor,xy_scan_difference_ver
83,2019-08-01 22:06:35,0.21516015624999252,0.16190234374999868
84,2019-08-05 00:46:33,0.2669179687499996,0.22203515624999515
85,2019-08-06 00:14:36,0.23770312500000212,0.19700781249999366
86,2019-08-06 21:51:28,0.23684765624999926,0.16107031250000237
87,2019-08-07 18:25:13,-0.010667968749996426,-0.04775000000000329
88,2019-08-07 23:56:11,0.008761718749997982,-0.05978906249999838
89,2019-08-09 00:49:42,0.09436328125000504,0.022390625000001663
90,2019-08-19 16:54:05,0.01738671874999209,0.02995703124999949
91,2019-08-20 00:29:25,0.0939648437499967,0.006601562499995772
92,2019-08-21 02:22:07,0.11466015624999581,0.05143749999999869
93,2019-08-22 07:23:10,0.11266796875000118,0.045855468749992134
94,2019-08-22 23:46:47,0.11105859375000282,0.05499999999999883
