,design_pos_x,design_pos_y,rotation,category,design_size,chip,cd,cd_remove_ave,cd_remove_1st,rep_3s_nocorr,rep_3s_1st
36,-6488.0,-8845.0,0,iso_space,750,1,765.49,0.0,-2.2737367544323207e-14,0.6992853494819222,0.2163302749936306
37,-6488.0,-8545.0,0,iso_line,750,1,728.042,-4.5474735088646414e-14,6.821210263296962e-14,0.13175735273599373,0.11701851705319113
38,-6488.0,-8345.0,0,iso_space,750,2,764.487,1.3642420526593923e-13,-7.958078640513122e-14,0.4868367282775561,0.2895199788992709
39,-6488.0,-8045.0,0,iso_line,750,2,727.261,1.1368683772161604e-14,7.958078640513122e-14,0.30313363389763126,0.21007069517113813
40,-6488.0,-7845.0,0,iso_space,750,3,764.988,-5.684341886080802e-14,-4.5474735088646414e-14,0.2992657681726727,0.05611676139165067
41,-6488.0,-7545.0,0,iso_line,750,3,728.106,1.1368683772161604e-14,4.5474735088646414e-14,0.2691468000923797,0.20991773280365156
42,-6487.625,-8695.0,0,ls_line,750,1,731.639,-1.1368683772161604e-14,-5.684341886080802e-14,0.18135600348485714,0.17398014515769106
43,-6487.625,-8695.0,0,ls_space,750,1,765.519,1.1368683772161604e-14,6.821210263296962e-14,0.7517246836442519,0.194652759984821
44,-6487.625,-8195.0,0,ls_line,750,2,731.642,-5.684341886080802e-14,-1.1368683772161604e-14,0.2452753554681113,0.22933632838070797
45,-6487.625,-8195.0,0,ls_space,750,2,766.2560000000001,3.410605131648481e-14,2.2737367544323207e-14,0.4012978943378896,0.21108091224735082
46,-6487.625,-7695.0,0,ls_line,750,3,732.237,-7.958078640513122e-14,-1.3642420526593923e-13,0.17090933268834604,0.16528396134764287
47,-6487.625,-7695.0,0,ls_space,750,3,766.143,-3.410605131648481e-14,-4.5474735088646414e-14,0.25808913189055716,0.07052186422193596
48,-4888.0,-8845.0,90,iso_space,110,1,115.48800000000001,-1.4210854715202004e-14,0.0,0.43492528093915517,0.23740005871691242
49,-4888.0,-8695.0,90,ls_line,110,1,98.365,-9.947598300641402e-15,4.263256414560601e-15,0.26580067720004685,0.2309558530555347
50,-4888.0,-8695.0,90,ls_space,110,1,121.53099999999999,-1.8474111129762605e-14,-1.4210854715202005e-15,0.29881432361919646,0.14057888974673916
51,-4888.0,-8545.0,90,iso_line,110,1,81.449,2.842170943040401e-15,0.0,0.253554727820247,0.1560769041210211
52,-4888.0,-8345.0,90,iso_space,110,2,114.876,2.2737367544323207e-14,8.526512829121202e-15,0.13798550648528699,0.13798111421056128
53,-4888.0,-8195.0,90,ls_line,110,2,98.049,1.9895196601282804e-14,1.4210854715202005e-15,0.1873232500251877,0.15722209729802814
54,-4888.0,-8195.0,90,ls_space,110,2,121.56800000000001,-1.1368683772161604e-14,-2.842170943040401e-15,0.18910314645716572,0.14046243971145664
